Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,28.510000,31.570000,28.278000,30.740000,30.740000,55014700
2022-03-09,31.750000,32.730000,31.200001,31.500000,31.500000,33734500
2022-03-10,30.860001,31.145000,29.840000,30.410000,30.410000,30785900
2022-03-11,31.299999,31.389999,30.420000,30.760000,30.760000,29454700
2022-03-14,30.510000,30.549999,28.799999,29.270000,29.270000,41897400
2022-03-15,29.520000,30.410000,29.059999,29.799999,29.799999,33060500
2022-03-16,30.530001,32.634998,30.270000,32.610001,32.610001,34688800
2022-03-17,32.340000,32.919998,31.570000,32.849998,32.849998,27278600
2022-03-18,32.520000,33.419998,32.330002,33.360001,33.360001,35827800
2022-03-21,32.820000,32.820000,31.250000,31.980000,31.980000,35200600
2022-03-22,31.930000,33.599998,31.840000,33.349998,33.349998,21852800
2022-03-23,32.709999,33.680000,32.570000,33.060001,33.060001,19024700
2022-03-24,34.740002,34.950001,33.439999,34.700001,34.700001,52533600
2022-03-25,34.549999,34.919998,33.549999,34.060001,34.060001,28078800
2022-03-28,34.139999,34.910000,33.730000,34.770000,34.770000,22175200
2022-03-29,35.570000,37.450001,35.570000,37.189999,37.189999,37969000
2022-03-30,36.660000,37.089001,36.205002,36.580002,36.580002,22306500
2022-03-31,36.500000,36.730000,35.369999,35.680000,35.680000,20608700
2022-04-01,35.680000,36.480000,35.400002,35.980000,35.980000,16793300
2022-04-04,36.400002,36.930000,36.215000,36.509998,36.509998,20217800
2022-04-05,36.349998,36.610001,34.720001,34.959999,34.959999,20984200
2022-04-06,33.855000,34.000000,32.549999,33.410000,33.410000,28854800
2022-04-07,33.340000,33.340000,31.020000,32.270000,32.270000,34581000
2022-04-08,31.920000,32.550999,31.580000,32.049999,32.049999,17991000
2022-04-11,31.360001,32.689999,31.110001,32.040001,32.040001,19680300
2022-04-12,32.400002,33.095001,31.709999,31.990000,31.990000,32619800
2022-04-13,32.000000,33.110001,31.930000,32.630001,32.630001,20186400
2022-04-14,32.860001,33.465000,32.639999,32.680000,32.680000,18763000
2022-04-18,32.549999,32.605000,31.420000,31.790001,31.790001,24413800
2022-04-19,32.160000,33.990002,31.969999,33.799999,33.799999,23319600
2022-04-20,33.990002,34.320000,33.180000,33.209999,33.209999,21330500
2022-04-21,34.250000,34.410000,31.370001,31.680000,31.680000,32937100
2022-04-22,31.620001,32.224998,30.799999,30.830000,30.830000,22748900
2022-04-25,30.590000,32.500000,30.459999,32.439999,32.439999,29416300
2022-04-26,32.040001,32.200001,31.000000,31.330000,31.330000,26981900
2022-04-27,31.100000,31.980000,30.160000,30.680000,30.680000,30762600
2022-04-28,31.000000,32.869999,30.980000,32.820000,32.820000,30251600
2022-04-29,32.520000,33.150002,31.410000,31.480000,31.480000,24948600
2022-05-02,31.240000,31.350000,29.510000,30.389999,30.389999,45651000
2022-05-03,30.150000,30.590000,28.850000,29.469999,29.469999,58340700
2022-05-04,27.410000,28.400000,25.900000,28.100000,28.100000,115601800
2022-05-05,27.870001,28.830000,26.200001,26.830000,26.830000,52804200
2022-05-06,26.840000,26.840000,24.750000,26.070000,26.070000,56575100
2022-05-09,25.410000,26.065001,22.799999,23.049999,23.049999,58095900
2022-05-10,23.850000,24.549999,22.799999,23.670000,23.670000,47982500
2022-05-11,23.280001,24.150000,22.500000,22.570000,22.570000,51137700
2022-05-12,22.150000,24.059999,21.690001,23.290001,23.290001,63999300
2022-05-13,23.879999,24.871000,23.680000,24.389999,24.389999,53577600
2022-05-16,24.309999,24.459999,23.400000,23.590000,23.590000,27285200
2022-05-17,24.320000,24.900000,23.590000,24.200001,24.200001,33859400
2022-05-18,23.980000,24.188000,22.340000,22.459999,22.459999,35747300
2022-05-19,22.290001,23.809999,22.200001,23.240000,23.240000,36461200
2022-05-20,23.809999,24.100000,22.410000,23.350000,23.350000,32104700
2022-05-23,23.320000,23.830000,22.709999,23.780001,23.780001,35204800
